GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Nmb,0.415470458,0.815103764,0,1.464970566,0.415680638,1.067886763,0.542861051,0.60397871,0,0.902914388,1.582469934,1.170595027,0.686893151,0.774273159,0.791222405
Sec11a,14.12599557,15.62282214,8.519152837,11.71976452,11.91617828,12.41418362,13.11914208,11.5762586,17.26141843,17.9293,12.78148793,14.39831884,11.67718357,14.04752732,15.93747987
Pigq,26.0361487,20.92099661,14.0953256,25.53234414,21.61539315,24.02745217,19.81442838,30.8029142,32.00554667,36.37455107,21.91112216,20.83659149,21.86609865,22.78575298,24.41486277
Rab40c,8.724879617,7.743485759,4.801704326,10.46407547,7.620811688,7.074749804,8.233392614,8.2543757,15.82296689,9.674082732,9.494819602,9.715938728,8.357200008,10.06555107,7.799192275
0610011F06Rik,9.140350075,8.558589523,6.195747518,9.417667922,9.283534239,11.07932516,10.85722103,9.462333119,10.42877363,13.41472806,11.92938873,9.598879225,9.959950695,10.61860333,8.138287591
Fam195a,11.91015313,11.13975144,4.027235887,10.25479396,10.94625679,23.62699463,11.40008208,19.22665559,9.709547866,20.38006762,12.17284564,8.662403203,14.88268495,12.0565392,11.30317721
Rhot2,28.11350099,30.83809241,15.64426248,22.81168452,26.32644038,38.844381,28.04782099,34.1247971,28.40941783,35.60062446,27.3889027,25.7530906,24.15574249,26.54650832,29.1621972
Rhbdl1,1.938862137,2.03775941,2.013617943,1.883533584,2.355523613,1.468344299,1.90001368,2.415914839,4.315354607,1.031902158,2.069383759,1.28765453,1.946197262,1.437935867,2.14760367
Jmjd8,7.893938701,9.917095796,5.731066454,9.417667922,8.036492326,10.67886763,10.5857905,12.28090043,7.192257678,13.54371583,9.251362689,7.842986684,6.525484938,11.61409739,10.96408189
Wdr24,11.63317282,14.80771838,9.75830234,16.32395773,13.02465998,12.948127,12.57628103,14.89814151,21.57677304,18.57423885,12.78148793,13.34478331,13.62338084,11.39287649,14.80716215
Fbxl16,4.431684885,3.939668193,4.027235887,4.394911697,3.3254451,4.805490433,5.790517882,4.529840323,2.157677304,2.063804316,5.47778054,3.745904088,2.175161646,3.31831354,2.938826075
Prps2,3.046783358,2.58116192,2.788086383,2.092815094,3.602565525,1.201372608,4.161934728,4.831829678,7.551870562,3.095706474,5.11259517,3.39472558,3.892394524,5.530522567,3.277921391
Sdc3,25.48218809,19.42663971,15.64426248,24.27665509,23.00099528,21.09076357,19.54299785,25.16577957,75.87831851,23.86273741,24.22396283,27.62604265,29.53640551,23.89185749,30.4055467
